,Node,X_i*,Cost,Global Cost
0,0,[-0.63632732  5.20795507  1.66176718  1.74828918 -4.66613129],7177.472981321822,27.55923743577488
1,1,[-0.51192069  3.68391685  1.81550017  1.02566437 -3.47058729],8712.87832489601,15.113155295739205
2,2,[ 0.98553318  5.13867059 -0.29233926  1.6062391  -3.70802529],7934.197780722532,21.896064488721564
3,3,[ 1.59792639 10.225844    0.11435813  0.49810312 -7.88455247],7371.469880055901,84.77430323339378
4,4,[ 1.75017032  5.18135149  5.59507912  0.50384681 -3.93577702],6724.043196470415,38.47930603440038
5,5,[ 6.02923946  8.07660149 -1.65341588  0.88889787 -3.32748332],6675.863286398624,58.089644414960766
6,6,[ 0.04713121  3.24281618  0.40041456  1.80954374 -2.8223099 ],7624.160113974505,10.959145841587214
7,7,[-0.78111737  7.30395084  1.32809683  1.29652087 -5.69383892],7481.8552407060715,44.91122569442619
8,8,[ 1.46166278  5.70497909  3.43254927  0.75405466 -3.15620626],8397.618731920173,28.49793769250885
9,9,"[ 4.44606981e-03  8.78353577e+00  3.28922208e-01  1.34204804e+00
 -3.65304148e+00]",6752.454430738186,46.20225760176847
10,10,[ 0.42875337 13.17759467  1.02133337  1.05904372 -9.0961043 ],5710.9489204432775,129.368319871665
11,11,[ 3.83258982  6.50416743 -1.20903309  0.35912595 -3.8837211 ],7769.663277081361,36.83348036738625
12,12,[ 0.58573293  8.16148742  0.18102996  1.46424148 -6.06202322],7633.636628369838,52.938930204559156
13,13,[ 3.72431279  2.6530641   1.75794012  0.92423023 -2.42629019],7926.935304102229,15.370346985333837
14,14,[ 1.51508988  3.65140826  4.36996336  1.46838765 -5.62517143],8024.815418741084,34.26178767389126
15,15,[-1.27525571 10.59097228 -1.6984457   1.26960747 -6.53046857],7955.590027421321,80.46930579246992
16,16,[ 0.62309776  7.18462077 -0.16033466  1.18634893 -3.66638451],6150.684359633043,33.44126641359403
17,17,[-2.40574332  8.40434113  1.63499127  0.53114004 -5.45539921],8148.142129402066,54.56861875295668
18,18,[ 1.23004744  9.72973922  1.61842531  1.39684107 -8.00179004],6317.186752932081,82.38997568411423
19,19,[-1.07245836 12.33358217  3.0786684   1.88469801 -9.43785084],6304.534291103686,127.68536510857749
