,Accuracy,Node,AUC-ROC,Cost Reduction
0,0.615,0,0.615,234600
1,0.7,1,0.7,311100
2,0.665,2,0.6650000000000001,270300
3,0.67,3,0.6700000000000002,275400
4,0.68,4,0.68,306000
5,0.695,5,0.695,326400
6,0.705,6,0.7050000000000001,311100
7,0.735,7,0.7350000000000001,306000
8,0.695,8,0.6950000000000001,280500
9,0.645,9,0.645,229500
10,0.725,10,0.7249999999999999,311100
11,0.615,11,0.615,270300
12,0.65,12,0.6500000000000001,255000
13,0.6,13,0.6,219300
14,0.73,14,0.73,290700
15,0.675,15,0.675,285600
16,0.67,16,0.6699999999999999,326400
17,0.665,17,0.6649999999999999,311100
18,0.665,18,0.6649999999999999,290700
19,0.65,19,0.65,244800
